Id,ActivityId,InterventionId,FinishTime,ActivityType,InterventionType,CommodityType,Commodity,Weight
6337936,6334701,6337935,2022-05-20T05:05:46Z,Airport,Detected,Fruit & Veg,BANANAS,0.13
6337960,6334701,6337959,2022-05-20T05:05:46Z,Airport,Declared,Fruit & Veg,APPLES,0.24
6338008,6334701,6338007,2022-05-20T05:05:46Z,Airport,Detected,Fruit & Veg,TOMATOES,0.2
6338076,6334657,6338075,2022-05-20T04:45:09Z,Airport,Detected,Fruit & Veg,BANANAS,0.13
6338135,6334635,6338134,2022-05-20T03:30:04Z,Airport,Detected,Fruit & Veg,BANANAS,0.26
6338166,6334635,6338165,2022-05-20T03:30:04Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6338220,6334635,6338219,2022-05-20T03:30:04Z,Airport,Declared,Fruit & Veg,CHILLIES,0.015
6338355,6334525,6338354,2022-05-20T03:10:14Z,Airport,Declared,Fruit & Veg,BANANAS,0.13
6338403,6334525,6338402,2022-05-20T03:10:14Z,Airport,Declared,Fruit & Veg,APPLES,0.24
6338621,6334006,6338620,2022-05-20T05:11:38Z,Airport,Detected,Fruit & Veg,BANANAS,0.2
6338622,6334006,6338620,2022-05-20T05:11:38Z,Airport,Detected,Fruit & Veg,PEARS,0.2
